movie_id,country_id
tt0017448,1
tt0017449,3
tt0017463,3
tt0017480,3
tt0017483,3
tt0017519,3
tt0017534,3
tt0017540,3
tt0017567,3
tt0017619,3
tt0017621,1
tt0017632,3
tt0017653,17
tt0017662,3
tt0017667,3
tt0017735,3
tt0017736,6
tt0017736,1
tt0017739,3
tt0017750,3
tt0017751,3
tt0017765,3
tt0017809,17
tt0017825,16
tt0017832,3
tt0017843,16
tt0017860,3
tt0017886,3
tt0017918,3
tt0017925,3
tt0017928,3
tt0017938,6
tt0017961,17
tt0017998,16
tt0018014,3
tt0018016,3
tt0018033,3
tt0018037,3
tt0018045,6
tt0018051,3
tt0018054,3
tt0018066,17
tt0018087,1
tt0018097,3
tt0018102,3
tt0018107,3
tt0018113,3
tt0018138,3
tt0018166,3
tt0018179,3
tt0018183,3
tt0018192,6
tt0018217,17
tt0018218,3
tt0018235,3
tt0018247,3
tt0018253,3
tt0018297,3
tt0018311,3
tt0018328,16
tt0018351,3
tt0018362,3
tt0018379,3
tt0018389,3
tt0018392,16
tt0018397,3
tt0018413,3
tt0018440,3
tt0018451,3
tt0018455,3
tt0018464,3
tt0018471,3
tt0018487,3
tt0018505,17
tt0018513,3
tt0018515,3
tt0018523,6
tt0018523,1
tt0018524,3
tt0018526,3
tt0018528,3
tt0018530,3
tt0018566,3
tt0018578,3
tt0018579,3
tt0018588,1
tt0018615,1
tt0018618,3
tt0018678,3
tt0018684,3
tt0018722,3
tt0018737,1
tt0018742,3
tt0018749,3
tt0018756,16
tt0018770,6
tt0018773,3
tt0018795,3
tt0018806,3
tt0018826,6
tt0018836,3
tt0018839,3
tt0018841,17
tt0018862,17
tt0018876,16
tt0018879,3
tt0018882,3
tt0018907,3
tt0018908,3
tt0018909,3
tt0018910,3
tt0018927,3
tt0018935,1
tt0018937,3
tt0018972,3
tt0018990,1
tt0018996,16
tt0019043,15
tt0019067,3
tt0019071,3
tt0019074,3
tt0019096,3
tt0019098,3
tt0019109,3
tt0019127,6
tt0019130,3
tt0019151,3
tt0019152,3
tt0019182,3
tt0019186,16
tt0019195,3
tt0019237,3
tt0019254,6
tt0019258,3
tt0019286,17
tt0019290,3
tt0019304,3
tt0019325,3
tt0019344,3
tt0019374,19
tt0019374,16
tt0019374,1
tt0019379,3
tt0019388,3
tt0019400,3
tt0019412,3
tt0019415,1
tt0019421,3
tt0019429,3
tt0019434,3
tt0019451,3
tt0019462,3
tt0019480,6
tt0019489,3
tt0019509,16
tt0019532,3
tt0019553,3
tt0019557,3
tt0019558,3
tt0019563,3
tt0019571,3
tt0019574,3
tt0019585,3
tt0019591,3
tt0019609,1
tt0019609,17
tt0019611,17
tt0019629,21
tt0019630,3
tt0019644,3
tt0019646,6
tt0019649,17
tt0019655,1
tt0019658,16
tt0019684,3
tt0019690,3
tt0019699,3
tt0019702,16
tt0019725,3
tt0019726,3
tt0019729,3
tt0019735,3
tt0019745,3
tt0019746,6
tt0019777,3
